territory_id,date,prediction,model
188,2025-01-01,20417.340766478246,seasonal_scaled
188,2025-02-01,20685.340040450137,seasonal_scaled
188,2025-03-01,22763.122646891046,seasonal_scaled
235,2025-01-01,22297.838282240784,seasonal_scaled
235,2025-02-01,24932.47045961429,seasonal_scaled
235,2025-03-01,28402.9417938514,seasonal_scaled
269,2025-01-01,30393.14446492675,seasonal_scaled
269,2025-02-01,32754.97655315158,seasonal_scaled
269,2025-03-01,36066.819313735,seasonal_scaled
305,2025-01-01,19141.018243758124,seasonal_scaled
305,2025-02-01,21568.03191537048,seasonal_scaled
305,2025-03-01,22763.790936393387,seasonal_scaled
312,2025-01-01,42105.342339084615,seasonal_scaled
312,2025-02-01,46085.36173674966,seasonal_scaled
312,2025-03-01,51748.468075214376,seasonal_scaled
322,2025-01-01,31078.896668644567,seasonal_scaled
322,2025-02-01,36317.40171229973,seasonal_scaled
322,2025-03-01,45530.87361193523,seasonal_scaled
324,2025-01-01,29739.287958115183,seasonal_scaled
324,2025-02-01,32890.10471204189,seasonal_scaled
324,2025-03-01,36380.3252356021,seasonal_scaled
397,2025-01-01,25884.068382475427,seasonal_scaled
397,2025-02-01,28187.69282025654,seasonal_scaled
397,2025-03-01,30531.671039480258,seasonal_scaled
486,2025-01-01,19527.116001165843,seasonal_scaled
486,2025-02-01,21734.38307587681,seasonal_scaled
486,2025-03-01,24530.654571067716,seasonal_scaled
506,2025-01-01,30791.669311100854,seasonal_scaled
506,2025-02-01,33190.232662127855,seasonal_scaled
506,2025-03-01,36487.13434687284,seasonal_scaled
541,2025-01-01,18302.97087378641,seasonal_scaled
541,2025-02-01,20648.65017055891,seasonal_scaled
541,2025-03-01,23402.723852007348,seasonal_scaled
571,2025-01-01,18920.201836005646,seasonal_scaled
571,2025-02-01,21600.819764060812,seasonal_scaled
571,2025-03-01,23994.71624989615,seasonal_scaled
581,2025-01-01,31331.081545528235,seasonal_scaled
581,2025-02-01,37069.25630910564,seasonal_scaled
581,2025-03-01,39392.731586057824,seasonal_scaled
694,2025-01-01,27068.957199633143,seasonal_scaled
694,2025-02-01,30952.359828798537,seasonal_scaled
694,2025-03-01,35238.32363191685,seasonal_scaled
811,2025-01-01,26326.85831273177,seasonal_scaled
811,2025-02-01,28328.275880716934,seasonal_scaled
811,2025-03-01,30942.05067985167,seasonal_scaled
1053,2025-01-01,24161.754700497586,seasonal_scaled
1053,2025-02-01,26584.39351236373,seasonal_scaled
1053,2025-03-01,27896.00615337866,seasonal_scaled
1110,2025-01-01,27641.33800266819,seasonal_scaled
1110,2025-02-01,30969.08249158249,seasonal_scaled
1110,2025-03-01,36217.569627088495,seasonal_scaled
1112,2025-01-01,26120.20651762031,seasonal_scaled
1112,2025-02-01,29089.291271946448,seasonal_scaled
1112,2025-03-01,32260.0674076881,seasonal_scaled
1120,2025-01-01,21552.090352607884,seasonal_scaled
1120,2025-02-01,25190.478120099157,seasonal_scaled
1120,2025-03-01,28321.757879293775,seasonal_scaled
1184,2025-01-01,32989.28348440453,seasonal_scaled
1184,2025-02-01,35165.705151025555,seasonal_scaled
1184,2025-03-01,35158.58490566038,seasonal_scaled
1238,2025-01-01,32428.042223282442,seasonal_scaled
1238,2025-02-01,34108.96213876772,seasonal_scaled
1238,2025-03-01,38912.94141902944,seasonal_scaled
1254,2025-01-01,24826.04297832234,seasonal_scaled
1254,2025-02-01,26266.80037700283,seasonal_scaled
1254,2025-03-01,31827.640716305374,seasonal_scaled
