territory_id,date,prediction,model
188,2025-01-01,23808.0,last
235,2025-01-01,27422.0,last
269,2025-01-01,37090.0,last
305,2025-01-01,24746.0,last
312,2025-01-01,55604.0,last
322,2025-01-01,36654.0,last
324,2025-01-01,42232.0,last
397,2025-01-01,31952.0,last
486,2025-01-01,24695.0,last
506,2025-01-01,38925.0,last
541,2025-01-01,25584.0,last
571,2025-01-01,27391.0,last
581,2025-01-01,42782.0,last
694,2025-01-01,35782.0,last
811,2025-01-01,34089.0,last
1053,2025-01-01,29338.0,last
1110,2025-01-01,36427.0,last
1112,2025-01-01,34128.0,last
1120,2025-01-01,29677.0,last
1184,2025-01-01,43335.0,last
1238,2025-01-01,41308.0,last
1254,2025-01-01,33005.0,last
1276,2025-01-01,22588.0,last
1286,2025-01-01,25821.0,last
1289,2025-01-01,24446.0,last
1292,2025-01-01,23754.0,last
1338,2025-01-01,27338.0,last
1426,2025-01-01,30444.0,last
1443,2025-01-01,57248.0,last
1461,2025-01-01,57342.0,last
1494,2025-01-01,34823.0,last
1555,2025-01-01,33875.0,last
1573,2025-01-01,30528.0,last
1577,2025-01-01,38335.0,last
1746,2025-01-01,22026.0,last
1763,2025-01-01,21201.0,last
1770,2025-01-01,30467.0,last
1909,2025-01-01,26630.0,last
1923,2025-01-01,24147.0,last
1930,2025-01-01,28331.0,last
1956,2025-01-01,38444.0,last
1970,2025-01-01,61261.0,last
2006,2025-01-01,41414.0,last
2061,2025-01-01,27401.0,last
2062,2025-01-01,32496.0,last
2066,2025-01-01,31982.0,last
2078,2025-01-01,20342.0,last
2079,2025-01-01,25613.0,last
2093,2025-01-01,25859.0,last
2125,2025-01-01,27391.0,last
2127,2025-01-01,31422.0,last
2139,2025-01-01,28556.0,last
2217,2025-01-01,52897.0,last
2235,2025-01-01,42570.0,last
2245,2025-01-01,50092.0,last
2278,2025-01-01,32665.0,last
2310,2025-01-01,32642.0,last
2373,2025-01-01,64055.0,last
2395,2025-01-01,45845.0,last
2453,2025-01-01,53303.0,last
2478,2025-01-01,56664.0,last
2538,2025-01-01,65676.0,last
2562,2025-01-01,63627.0,last
2573,2025-01-01,68936.0,last
